course_id,section_type,section_code,day_of_week,start_time,end_time,capacity,term,academic_year,status
ECOR1041,LECTURE,A-1,2,11:35,12:55,100,FALL,2024-2025,CLOSED
ECOR1041,LECTURE,A-2,4,11:35,12:55,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,A1,2,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,A2,3,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,A3,4,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,A4,5,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,A5,5,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,A6,4,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1041,LECTURE,B-1,2,13:05,14:25,100,FALL,2024-2025,CLOSED
ECOR1041,LECTURE,B-2,4,13:05,14:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,B1,1,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,B2,5,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,B3,3,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,B4,3,18:05,20:55,100,FALL,2024-2025,CLOSED
ECOR1041,LAB,B6,2,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1041,LECTURE,F-1,2,11:35,12:55,100,FALL,2024-2025,CLOSED
ECOR1041,LECTURE,F-2,4,11:35,12:55,100,FALL,2024-2025,CLOSED
ECOR1042,LECTURE,A-1,2,11:35,12:55,100,FALL,2024-2025,CLOSED
ECOR1042,LECTURE,A-2,4,11:35,12:55,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A1A,2,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A1B,2,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A2A,3,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A2B,3,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A3A,4,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A3B,4,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A4A,5,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A4B,5,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A5A,5,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A5B,5,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A6A,4,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,A6B,4,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LECTURE,B-1,2,13:05,14:25,100,FALL,2024-2025,CLOSED
ECOR1042,LECTURE,B-2,4,13:05,14:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B1A,1,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B1B,1,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B2A,5,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B2B,5,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B3A,3,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B3B,3,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B4A,3,18:05,20:55,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B4B,3,18:05,20:55,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B6A,2,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1042,LAB,B6B,2,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1043,LECTURE,A-1,2,14:35,15:55,100,FALL,2024-2025,CLOSED
ECOR1043,LECTURE,A-2,4,14:35,15:55,100,FALL,2024-2025,CLOSED
ECOR1043,LAB,A1,4,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1043,LAB,A2,3,14:35,17:25,100,FALL,2024-2025,CLOSED
ECOR1043,LAB,A3,3,11:35,14:25,100,FALL,2024-2025,CLOSED
ECOR1043,LAB,A4,2,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1043,LAB,A5,5,8:35,11:25,100,FALL,2024-2025,CLOSED
ECOR1043,LECTURE,B-1,1,10:05,11:25,100,FALL,2024-2025,CLOSED
